video_id,comment,likes,published_at
1,"Death penalty deters crime",25,2022-01-10
2,"Capital punishment violates human rights",12,2023-05-12
3,"Some criminals deserve death penalty",45,2021-09-03
4,"The justice system should not kill people",30,2022-11-15
5,"Life imprisonment is enough punishment",15,2021-12-01
6,"The cost of execution is higher than life in prison",8,2023-01-20
7,"Eye for an eye, a tooth for a tooth",50,2020-05-15
8,"Innocent people might be wrongly executed",65,2022-08-30
9,"It brings closure to the victims' families",40,2021-03-12
10,"Retribution is a key part of justice",22,2023-11-05
11,"Modern society should move past capital punishment",33,2024-02-14
12,"DNA evidence shows how many mistakes were made",55,2022-04-22
13,"Terrorists deserve the ultimate penalty",90,2023-06-18
14,"The state should not have the power to kill",42,2021-10-10
15,"Cruel and unusual punishment is unconstitutional",28,2020-09-05
16,"Does it really deter violent crime?",18,2022-07-25
17,"Arguments for death penalty often ignore systemic bias",36,2023-03-14
18,"Justice must be served for the most heinous crimes",48,2021-11-28
19,"Rehabilitation is better than execution",21,2024-01-08
20,"The law must protect the innocent above all else",31,2022-05-30